year,event,keywords,_description,link,id
1997,去罪化Decriminalization,"法律Law","中国LGBTQ+权利的第一个重大转折点出现在1997年，当时修订后的刑法取消了流氓罪和鸡奸罪，事实上使同性关系去罪化。The first major turning point for LGBTQ+ rights in China came in 1997 when the revised Criminal Law removed 'hooliganism' and 'sodomy' charges, effectively decriminalizing same-sex relations.",//,去罪化
2001,去病化Depathologization,"法律Law",2001年，中国精神病学协会进一步将同性恋从其精神疾病名单中移除，这标志着去病理化的关键一步。In 2001，the Chinese Psychiatric Association further removed homosexuality from its list of mental disorders，marking a crucial step toward depathologization.",//,去病化
2001,第一届北京酷儿影展The First Chinese LGBT Film Festival-Beijing Queer Film Festival,"文化Culture","中国第一届酷儿影展-北京酷儿影展在2001年12月由北京大学影视协会的一群大学生创办，收获了很多关注。The first ever Beijing Queer Film Festival was organized in December 2001 by a group of university students belonging to the Peking University Student Cinema Association. The festival was then called 'China Homosexual Film Festival' and attracted a lot of attention.",https://www.bjqff.com/,第一届北京酷儿影展
2017,第一届上海酷儿影展The First Shanghai Queer Film Festival,"文化Culture","上海酷儿影展在2017年9月16-24开展。Shanghai Queer Film Festival was held in Shanghai from 16—24 September 2017.",https://www.shqff.org/home,上海酷儿影展2017
2018,第二届上海酷儿影展The Second Shanghai Queer Film Festival,"文化Culture",//,https://www.shqff.org/home,上海酷儿影展2018
2019,第三届上海酷儿影展The Third Shanghai Queer Film Festival,"文化Culture",//,https://www.shqff.org/home,上海酷儿影展2019
2020,第四届上海酷儿影展The Forth Shanghai Queer Film Festival,"文化Culture",//,https://www.shqff.org/home,上海酷儿影展2020
2021,第五届上海酷儿影展The Fifth Shanghai Queer Film Festival,"文化Culture","开始征片但未能成功举办。The campaign was launched but didn't take place.",https://www.shqff.org/home,上海酷儿影展2021
2008,教育部发布《中小学健康教育指导纲要》Issuance of the 'Guidelines for Health Education in Primary and Secondary Schools',"教育Education","2008年教育部发布《中小学健康教育指导纲要》涵盖个人卫生、疾病预防、心理调节、青春期教育和安全防护等关键议题。In 2008 the Ministry of Education issued the Guidelines on Health Education for primary and secondary schools,encompassing personal hygiene, disease prevention, emotional regulation, adolescent education, and safety protection.",https://www.gov.cn/gongbao/content/2009/content_1310690.htm,中小学健康教育指导纲要
2003,同性婚姻提案Proposal of Chinese Same-Sex Marriage Bill,"法律Law","性学学者李银河在2003年、2005年、2006年和2008年的中国人民政治协商会议上，多次提出同性婚姻法案作为婚姻法的修正案，然而4次都没有采纳。Li Yinhe, a sexology scholar well known in the Chinese LGBT community, proposed the Chinese Same-Sex Marriage Bill as an amendment to the marriage law at the Chinese People's Political Consultative Conference in 2003, 2005, 2006 and 2008.All four proposals failed.",//,李银河
