year,titel,text,extra,link,kategorie
1997,转向开放Opening Up(1997-2001),去罪化Decriminalization,"中国LGBTQ+权利的第一个重大转折点出现在1997年，当时修订后的刑法取消了流氓罪和鸡奸罪，事实上使同性关系去罪化。The first major turning point for LGBTQ+ rights in China came in 1997 when the revised Criminal Law removed 'hooliganism' and 'sodomy' charges, effectively decriminalizing same-sex relations.",
2001,转向开放Opening Up(1997-2001),去病化Depathologization,"2001年，中国精神病学协会进一步将同性恋从其精神疾病名单中移除，这标志着去病理化的关键一步。In 2001, the Chinese Psychiatric Association further removed homosexuality from its list of mental disorders, marking a crucial step toward depathologization.",
2003,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),同性婚姻提案Proposal of Chinese Same-Sex Marriage Bill,"性学学者李银河在2003年、2005年、2006年和2008年的中国人民政治协商会议上，多次提出同性婚姻法案作为婚姻法的修正案，然而4次都没有采纳。Li Yinhe, a sexology scholar well known in the Chinese LGBT community, proposed the Chinese Same-Sex Marriage Bill as an amendment to the marriage law at the Chinese People's Political Consultative Conference in 2003, 2005, 2006 and 2008.All four proposals failed.",
2005,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),
2008,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2009,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2010,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2011,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2012,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2013,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,,,
2014,日益包容与认可Emerging Tolerance and Semi-Recognition(2001-2015),,In the years following depathologization, China witnessed growing, albeit unofficial, LGBTQ+ visibility. Queer individuals and communities found space in entertainment, literature, and online discourse. This period saw increased discussion of LGBTQ+ issues, with activists pushing for legal and social recognition. However, the state adopted a passive stance—while it did not openly suppress queer communities, it also provided no legal protections or explicit support. LGBTQ+ existence was tolerated but remained outside the realm of formal recognition.,
2015,加强控制和审查Tightening Control and Censorship (2015–2020),,Around 2015, state attitudes shifted as authorities began exerting tighter control over public expressions of queer identity. Media regulations increasingly restricted LGBTQ+ representation, with television and streaming platforms banning “abnormal sexual relationships.” Public events, such as LGBTQ+ rights conferences and Pride gatherings, faced growing scrutiny and cancellation. Online censorship intensified, and advocacy organizations encountered legal and bureaucratic obstacles. This period signaled a regression from passive tolerance to active suppression, as the government sought to limit LGBTQ+ visibility in the public sphere.,
2016,加强控制和审查Tightening Control and Censorship (2015–2020),第一起同性婚姻法律案件First court case of same-sex marriage,"2016年4月13日，长沙市芙蓉区人民法院首次受理了一起同性婚姻诉讼案件，这一诉讼标志着中国司法系统首次正式回应同性伴侣的婚姻权利诉求。尽管法院最终维持了政府拒绝颁发婚姻证书的决定，但这一案件本身已成为推动性少数群体权利讨论的重要里程碑。On April 13, 2016, the Furong District People's Court in Changsha made history by accepting China's first-ever same-sex marriage lawsuit. Although the court ultimately upheld the government's decision to deny a marriage certificate, the case represented a significant judicial milestone in addressing the marriage rights of same-sex couples. This groundbreaking legal proceeding opened a crucial dialogue about LGBTQ+ rights within China's legal system, marking an important moment of visibility and potential social change."
2017,转向,"shift","The family van Gogh lives in the small town Zundert in the South of the Netherlands. Vincent later visits a middle school in Tilburg, where he lives far from his family. Despite his good grades, he leaves school in 1868, aged 15. From now on, he works for the international art firm Goupil & Cie.",,
2018,开放,"较为开放","It was Theo who advised Vincent to take on a career as an artist. The brothers share a deep relationship and also the profession, as Theo becomes well-established in the art trade. He will later also finance Vincent. Their contact in letters will stay a life long.",,
2019,疫情,"年末疫情 ","Far away from his family, he feels lonely and starts long walks through the city and its surroundings. Between 1874 and 1875, he is moving between Paris and London, but ultimately stayed in Paris.",,
2020,模糊的边界与暧昧的政策Elusive Boundaries and Ambiguous Policies (2020–Present),"感知收紧",In recent years, China’s stance on LGBTQ+ issues has become increasingly ambiguous, marked by unpredictable enforcement and shifting red lines. While LGBTQ+ topics are not outright criminalized, they exist in a precarious gray zone where visibility is constantly negotiated. Some queer narratives manage to circulate through coded language, private online spaces, and commercial entertainment, but official recognition remains distant. Authorities employ selective enforcement, allowing certain expressions while swiftly cracking down on activism and political advocacy. The result is a landscape where LGBTQ+ individuals must navigate an ever-changing set of boundaries, never fully certain where they stand in the eyes of the state.,,
2021,收紧,"停滞关闭",,https://www.shqff.org/post/shqff-2021-%E7%9F%AD%E7%89%87%E5%8D%95%E5%85%83%E5%BE%81%E7%89%87%E6%AD%A3%E5%BC%8F%E5%90%AF%E5%8A%A8submissions-open-for-shqff-2021-shorts,
2022,Definite decision for the arts,"With the advise from his brother Theo, Vincent decides to become an artist for good.","From 1880 on, four-years-younger Theo pays for Vincents living. Despite his efforts and generosity, Vincent will become known for his constant shortage of money. In 1880, Vincent moves to Brussels to get in contact with art and artists.",,
2023,Academy and self-studies,"Vincent is registered at the Académie Royale des Beaux-Arts in Brussels, where he studies the basic principles of drawing, like anatomy, movement, and perspective.",,,
2024,Models from life,"Many portraits mark this year, showing among others the prostitute Sien Hoornik that Vincent was living with together with her two kids.","Vincent states that he liked models whom „life has given a drubbing“, obviously referring to Sien. At the time, he is living in The Hague and portraits parts of modern urban life.",,
2025,Workers in the countryside,Vincent leaves Sien and her children and moves to Drenthe and then to Nuenen.,"He draws outside a lot, among others sketching weavers and their cottages. To his brother Theo, he writes: „I don't really have any friends except for you, and when I'm ill you're always in my thoughts.“ (22 July 1883)",,
